\xef\xbb\xbfWeek,NO,English,Korean,POS,Definition,Definition_Korean,Example,Example_Korean
1,1,bring,가져오다,verb,to carry something to another place,다른 곳으로 무언가를 나르다,Make sure you bring your umbrella,우산을 꼭 가져오세요
1,2,before,~전에,prep.,earlier in time,시간상 더 이른,Brush your teeth before you go to bed.,잠자리에 들기 전에 이를 닦으세요.
1,3,light,가벼운,adj.,having little weight,무게가 적은,Your pencil case is very light. I think it's empty.,너의 필통은 매우 가벼워. 비어있는 것 같아.
1,4,carry,들고가다,verb,to hold something while moving,움직이면서 무언가를 들다,Can you carry all those books?,그 모든 책들을 들고 갈 수 있어?
1,5,suddenly,갑자기,adv.,quickly and unexpectedly,빠르고 예상치 못하게,Suddenly it started to rain.,갑자기 비가 내리기 시작했다.
1,6,around,~주위에,prep.,on all sides,모든 면에,Let's walk around the park.,공원 주위를 걸어보자.
1,7,blast off,발사하다,phr.v.,to leave the ground fast,빠르게 땅을 떠나다,When it is ready the rocket will blast off.,준비가 되면 로켓이 발사될 것이다.
1,8,startle,깜짝 놀리게 하다,adj.,surprised and slightly frightened,놀라고 약간 무서워하는,She gave a startle look.,그녀는 깜짝 놀란 표정을 지었다.
1,9,distinguish,구별하다,verb,to notice or recognize a difference between people or things,사람이나 사물 간의 차이를 알아차리거나 인식하다,It's hard to distinguish twins.,쌍둥이를 구별하기는 어렵다.
1,10,classify,분류하다,verb,to divide things or people into groups according to their type,유형에 따라 사물이나 사람을 그룹으로 나누다,We can classify animals by their size or where they live.,크기나 서식지에 따라 동물을 분류할 수 있다.
2,1,dust,먼지,noun,tiny dry pieces of dirt,작은 마른 흙 조각들,There's a lot of dust on this TV.,이 TV에 먼지가 많이 있다.
2,2,gravity,중력,noun,the force that pulls us to the ground,우리를 땅으로 끌어당기는 힘,Gravity keeps us from flying in the sky.,중력이 우리가 하늘로 날아가지 않게 한다.
2,3,earth,지구땅,noun,the planet we live on,우리가 사는 행성,Earth is the third planet from the sun.,지구는 태양으로부터 세 번째 행성이다.
2,4,lunar,달의,adj.,having to do with the moon,달과 관련된,The lunar new year is in February.,음력 새해는 2월에 있다.
2,5,rover,탐사선,noun,something that moves from one place to another,한 장소에서 다른 장소로 움직이는 것,The astronauts use a rover to explore the moon.,우주비행사들은 달을 탐사하기 위해 탐사선을 사용한다.
2,6,footprint(-s),발자국,noun,the mark a person or an animal leaves when walking,사람이나 동물이 걸을 때 남기는 자국,I saw some animal footprints in the snow.,눈 속에서 동물 발자국을 봤다.
2,7,astronaut,우주비행사,noun,a person who goes into space,우주로 가는 사람,An astronaut must train very hard.,우주비행사는 매우 열심히 훈련해야 한다.
2,8,equipment,장비,noun,the things you need to do something,무언가를 하기 위해 필요한 것들,I brought some baseball equipment so we can play.,우리가 놀 수 있도록 야구 장비를 가져왔다.
2,9,entire,전체의,adj.,whole or complete with nothing missing,아무것도 빠지지 않은 완전한,I ate the entire cake.,나는 케이크를 전부 먹었다.
2,10,organize,정리하다,verb,arrange them a certain way,특정한 방식으로 배열하다,I organize my books by color.,나는 책을 색깔별로 정리한다.
3,1,sure,확실한,adj.,Certain,확실한,Are you sure you want to go in there?,정말 거기에 들어가고 싶어?
3,2,project,프로젝트계획,noun,a piece of planned work or an activity,계획된 작업이나 활동의 일부,We are working on a science project.,우리는 과학 프로젝트를 하고 있다.
3,3,about,~에대하여,prep.,Relating to,~에 관련된,This book is about the four seasons.,이 책은 사계절에 관한 것이다.
3,4,maybe,아마도,adv.,perhaps; not sure,아마도; 확실하지 않은,Maybe we should wait until the rain stops.,비가 그칠 때까지 기다리는 게 좋을 것 같다.
3,5,structure,구조건축물,noun,the way that something is built arranged or organized,무언가가 만들어지고 배열되고 조직되는 방식,The structure of the building is very strong.,그 건물의 구조는 매우 튼튼하다.
3,6,break down,고장 나다,phr.v.,to stop working,작동을 멈추다,My computer is old. I think it will break down soon.,내 컴퓨터는 오래됐다. 곧 고장날 것 같다.
3,7,remain,남다,verb,to stay in the same place or in the same condition,같은 장소나 같은 상태에 머물다,Only a few cookies remain on the plate.,접시에 쿠키가 몇 개만 남아있다.
3,8,thoughtful,사려 깊은,adv.,carefully considering things,신중하게 생각하는,She gave me a thoughtful gift.,그녀는 나에게 사려 깊은 선물을 주었다.
3,9,leaped,뛰어오르다,verb,to make a large jump,큰 점프를 하다,The cat leaped over the wall.,고양이가 벽을 뛰어넘었다.
3,10,stretch,늘이다,verb,to make (something) wider or longer by pulling it,잡아당겨서 더 넓거나 길게 만들다,I stretch my arms every morning.,나는 매일 아침 팔을 늘인다.
4,1,stubborn,고집이센,adj.,If you are stubborn that means you don't change your mind easily,고집스럽다는 것은 쉽게 마음을 바꾸지 않는다는 뜻,My sister is stubborn. She won't let me watch the TV.,내 여동생은 고집이 세다. 나에게 TV를 보게 해주지 않는다.
4,2,parachute,낙하산,noun,something that opens up and helps you float to the ground,펼쳐져서 땅으로 떠내려가는 것을 도와주는 것,Don't go skydiving without a parachute!,낙하산 없이 스카이다이빙을 하지 마라!
4,3,exclaim(-ed),외치다,verb,to say something in a strong way,강하게 무언가를 말하다,"Watch out" he exclaimed!,"조심해!"라고 그가 외쳤다!
4,4,reef,암초산호,noun,rocks sand or coral that is close to the surface of the sea or ocean,바다나 대양의 표면 가까이에 있는 바위 모래 또는 산호,Sailors need to know where the reef is so they don't hit it.,선원들은 암초가 어디 있는지 알아야 부딪히지 않는다.
4,5,fog,안개,noun,like a cloud that is close to the ground,땅에 가까운 구름 같은 것,I can't see in this fog.,이 안개 속에서는 볼 수 없다.
4,6,pirate(-s),해적,noun,a sailor who attacks other boats,다른 배를 공격하는 선원,I'm wearing a pirate costume for Halloween.,나는 할로윈에 해적 의상을 입고 있다.
4,7,explorer(-s),탐험가,noun,a person who goes somewhere no one has gone before,아무도 가본 적 없는 곳에 가는 사람,When I went into that cave I felt like an explorer.,그 동굴에 들어갔을 때 나는 탐험가가 된 기분이었다.
4,8,supplies,필요물품,noun,the things you need to bring with you,가져가야 하는 것들,Did you bring the supplies we need?,우리가 필요한 물품들을 가져왔니?
4,9,curious,호기심있는,adj.,interested in learning about people or things around you,주변 사람이나 사물에 대해 배우는 것에 관심이 있는,The child was curious about the new toy.,그 아이는 새 장난감에 대해 호기심이 있었다.
4,10,improve,개선하다,verb,to (cause something to) get better,더 좋게 만들다,He worked hard to improve his grades.,그는 성적을 향상시키기 위해 열심히 공부했다.
5,1,contented,만족한,adj.,happy and satisfied,행복하고 만족하는,He felt contented after eating his favorite pizza.,그는 좋아하는 피자를 먹고 나서 만족감을 느꼈다.
5,2,ground,땅,noun,the soil we grow things in and walk on,우리가 작물을 기르고 걷는 흙,The ground is hard and dry here.,여기 땅은 딱딱하고 건조하다.
5,3,sometimes,때때로가끔,adv.,now and then; at times,가끔; 때때로,Sometimes we go to my grandmother's house on Sundays.,때때로 우리는 일요일에 할머니 집에 간다.
5,4,under,~아래에,prep.,in a lower place than,~보다 낮은 곳에,There's a mouse under the table.,테이블 아래에 쥐가 있다.
5,5,these,이것들,adj.,more than one thing that is close,가까이 있는 하나 이상의 것,These candies are better than those ones.,이 사탕들이 저 사탕들보다 더 좋다.
5,6,right,곧바로,adv.,in a straight line; directly,직선으로; 직접적으로,Fruit that comes right from the tree tastes the best.,나무에서 바로 딴 과일이 가장 맛있다.
5,7,crush(-ing),부딪히다,verb,to break ground or grind something,부수거나 갈아버리다,I crushed the can by stepping on it.,나는 캔을 밟아서 찌그러뜨렸다.
5,8,vegetable(-s),야채,noun,a plant or part of a plant that you can eat,먹을 수 있는 식물이나 식물의 일부,Potatoes are my favorite vegetables.,감자는 내가 가장 좋아하는 야채다.
5,9,complicate,복잡하게만들다,verb,to make (something) more difficult or less simple,더 어렵게 하거나 덜 간단하게 만들다,The new rules will complicate the game.,새로운 규칙들이 게임을 복잡하게 만들 것이다.
5,10,device,기기장치,noun,an object made to do a certain job,특정한 일을 하기 위해 만들어진 물건,I use my device to watch videos.,나는 비디오를 보기 위해 기기를 사용한다.
6,1,grain,곡물,noun,a small dry fruit of a cereal grass such as wheat,밀과 같은 곡초의 작고 마른 열매,Wheat is a grain. It is used to make bread.,밀은 곡물이다. 빵을 만드는데 사용된다.
6,2,flour,밀가루,noun,powder used for baking,제빵에 사용되는 가루,Can you go to the store and get some flour?,가게에 가서 밀가루를 좀 사올 수 있니?
6,3,pop(-s),튀어나오다,verb,to break open with a short sharp explosive sound,짧고 날카로운 폭발음과 함께 터지다,If you blow up your balloon too big it will pop.,풍선을 너무 크게 불면 터질 것이다.
6,4,nectar,꽃물꿀,noun,a sweet liquid in flowers,꽃 속의 달콤한 액체,Bees collect the nectar from flowers.,벌들은 꽃에서 꿀을 모은다.
6,5,hive,벌집,noun,where a group of bees live,벌들이 사는 곳,There's a bee hive in that tree over there.,저기 저 나무에 벌집이 있다.
6,6,sap,수액,noun,the liquid that comes from a tree,나무에서 나오는 액체,Maple syrup is made from tree sap.,메이플 시럽은 나무 수액으로 만들어진다.
6,7,drip(-s),똑똑 떨어지다,verb,to fall in small amounts,소량씩 떨어지다,The water drips into the sink.,물이 싱크대로 떨어진다.
6,8,trade,교환하다,verb,changing one thing for another,한 가지를 다른 것으로 바꾸다,Do you want to trade cards with me?,나와 카드를 교환하고 싶니?
6,9,chop(-ped),자르다,verb,to cut something with an ax,도끼로 무언가를 자르다,Can you chop some wood for the fire?,불을 위해 나무를 좀 잘라줄 수 있니?
6,10,imagine,상상하다,verb,to think of or create (something that is not real) in your mind,마음속에 (실제가 아닌) 무언가를 생각하거나 만들어내다,Can you imagine living on the moon?,달에 사는 것을 상상할 수 있니?
7,1,great,훌륭한,verb,of better quality,더 좋은 품질의,That was a great movie!,그것은 훌륭한 영화였다!
7,2,intend,의도하다,verb,to have as plan or purposes,계획이나 목적으로 갖다,I intend to study hard for the exam.,나는 시험을 위해 열심히 공부할 의도이다.
7,3,soon,곧,verb,shortly; in the near future,곧; 가까운 미래에,I have to go home soon.,나는 곧 집에 가야 한다.
7,4,laugh,웃다,noun,what you do to show that something is funny,무언가 재미있다는 것을 보여주기 위해 하는 것,My uncle always makes me laugh.,내 삼촌은 항상 나를 웃게 만든다.
7,5,do(done),끝내다,verb,finished; completed,끝난; 완료된,I have done all my homework.,나는 모든 숙제를 끝냈다.
7,6,crop(-s),(농)작물,noun,plants that are grown for eating,먹기 위해 기르는 식물들,What kind of crops does this farm grow?,이 농장은 어떤 종류의 작물을 기르나요?
7,7,hop,폴짝폴짝 뛰다,verb,to move quickly by making small jumps,작은 점프를 하여 빠르게 움직이다,A rabbit hops faster than a frog.,토끼는 개구리보다 빠르게 뛴다.
7,8,idea,생각,noun,a suggestion or plan for doing something,무언가를 하기 위한 제안이나 계획,She has a great idea for the project.,그녀는 그 프로젝트에 대한 좋은 아이디어가 있다.
7,9,unusual,비정상적인,adv.,not normal or usual,정상적이지 않거나 평범하지 않은,It's unusual to see snow in April.,4월에 눈을 보는 것은 이상하다.
7,10,volume,음량,noun,level of sound whether loud or soft,크든 작든 소리의 정도,Turn down the volume on the TV.,TV 볼륨을 줄여라.
8,1,wink,윙크하다,noun,closing and opening one eye very quickly,한쪽 눈을 매우 빠르게 감았다 뜨다,He smiled and gave me a wink,그는 미소를 지으며 나에게 윙크를 했다.
8,2,library,도서관,noun,a place where books are kept,책이 보관되는 곳,I need to go to the library to read a book.,나는 책을 읽기 위해 도서관에 가야 한다.
8,3,gasp(-ed),숨을 헐떡거리다,verb,to breath sharply because of shock or surprise,충격이나 놀라움 때문에 날카롭게 숨쉬다,I was so surprised that I gasped.,나는 너무 놀라서 헐떡거렸다.
8,4,lots of,많은,noun,Many,많은,There are lots of insects in my yard.,우리 마당에는 곤충이 많다.
8,5,change(-s),변화시키다,verb,to make things different,것들을 다르게 만들다,I need to change my clothes because these are dirty.,이 옷들이 더러워서 갈아입어야 한다.
8,6,past,지난과거,noun,the time before now,지금 이전의 시간,In the past they didn't have the internet.,과거에는 인터넷이 없었다.
8,7,right away,즉시,adv.,without delay; at once; now,지체 없이; 즉시; 지금,We have to leave right away!,우리는 지금 당장 떠나야 한다!
8,8,marvelous,놀라운,adj.,extremely good,극도로 좋은,The view from the top of the mountain was marvelous.,산 정상에서의 경치는 놀라웠다.
8,9,rocket,로켓,noun,something that flies in space,우주에서 날아다니는 것,I want to fly in a rocket someday.,언젠가 로켓을 타고 날고 싶다.
8,10,sense,감각,noun,a general feeling or understanding,일반적인 느낌이나 이해,He has a good sense of balance when he plays soccer.,그는 축구를 할 때 좋은 균형감각을 가지고 있다.
9,1,observe,관찰하다,verb,to watch carefully,주의 깊게 보다,I like to observe the birds in the park,나는 공원에서 새들을 관찰하는 것을 좋아한다.
9,2,more,좀더,adj.,greater in number,수가 더 많은,I have more homework than you.,나는 너보다 숙제가 더 많다.
9,3,balance,균형,noun,to make steady by keeping weight equal on all sides,모든 면에서 무게를 균등하게 유지하여 안정시키다,She kept her balance while riding the bike.,그녀는 자전거를 타면서 균형을 유지했다.
9,4,section,부분,noun,one of the parts that form something,무언가를 구성하는 부분 중 하나,This section of the book is about animals.,책의 이 부분은 동물에 관한 것이다.
9,5,shift,움직이다,verb,to move a little bit from one place to another,한 곳에서 다른 곳으로 조금 움직이다,The bags sometimes shift in an airplane.,가방들은 때때로 비행기에서 움직인다.
9,6,rod,낚싯대,noun,a pole used for fishing,낚시에 사용되는 막대,This is my lucky fishing rod. I catch a lot of fish with it.,이것은 내 행운의 낚싯대다. 이것으로 많은 물고기를 잡는다.
9,7,distract,산만하게 하다,verb,to make someone stop giving their attention to something,누군가가 무언가에 주의를 기울이는 것을 멈추게 하다,The loud music distracted the students during the test.,시끄러운 음악이 시험 중에 학생들을 방해했다.
9,8,nervous,긴장한,adj.,worried and anxious,걱정되고 불안한,He was nervous about meeting new people.,그는 새로운 사람들을 만나는 것에 대해 긴장했다.
9,9,scramble,서두르다,verb,to move or climb over something quickly,무언가 위로 빠르게 움직이거나 기어오르다,They scrambled up the hill.,그들은 언덕을 서둘러 올라갔다.
9,10,squeaky,삐걱거리는,adj.,making a very high sound,매우 높은 소리를 내는,The door made a squeaky sound when it opened.,문이 열릴 때 삐걱거리는 소리를 냈다.
10,1,twitch,갑자기 움직이다,verb,to move suddenly,갑자기 움직이다,If your fishing rod starts to twitch you have a fish.,낚싯대가 갑자기 움직이기 시작하면 물고기가 걸린 것이다.
10,2,stream,시냇물,noun,a small river,작은 강,Let's jump in the stream to cool off.,시원해지기 위해 개울에 뛰어들자.
10,3,dash,돌진,verb,to run,달리다,Let's dash to get out of the rain!,비를 피하기 위해 달리자!
10,4,log,통나무,noun,a piece of a trunk of a fallen tree,쓰러진 나무의 줄기 조각,There are a lot of ants on that log.,그 통나무에 개미가 많이 있다.
10,5,shell,껍데기,noun,the hard covering of a turtle or snail,거북이나 달팽이의 딱딱한 껍질,The turtle went into its shell.,거북이가 껍질 속으로 들어갔다.
10,6,meal,식사,noun,one of the three main times for eating in a day,하루에 세 번 먹는 주요 식사 중 하나,I haven't had a meal yet today.,나는 오늘 아직 식사를 하지 않았다.
10,7,joke,농담,noun,something said to make other people laugh,다른 사람들을 웃게 하기 위해 말하는 것,Do you know any good jokes?,좋은 농담 아는 거 있어?
10,8,perk up,활발해지다,phr.v.,to stick up in the air,공중으로 쫑긋 서다,My dog's ears perk up when we give his food.,우리가 먹이를 줄 때 개의 귀가 쫑긋 선다.
10,9,vast,방대한,adj.,extremely big,극도로 큰,The desert is vast and empty.,사막은 방대하고 비어있다.
10,10,certain,확실한,adj.,having no doubt or knowing exactly that something is true,의심이 없거나 무언가가 사실임을 정확히 아는,I am certain I left my keys on the table.,나는 열쇠를 테이블에 두고 왔다고 확신한다.
